year,code,pop,gdp,life,cell,imports,exports
1960,ABW,0.05,,65.7,0,,
1960,AFG,9,0.54,32.3,0,,49.9
1960,AGO,5.45,,33.3,0,127.5,123.3
1960,ALB,1.61,,62.3,0,,
1960,AND,0.01,,,0,,
1960,ARE,0.09,,52.3,,,
1960,ARG,20.48,,65,0,1227.3,1079.1
1960,ARM,1.87,,66,0,,
1960,ASM,0.02,,,0,,
1960,ATG,0.05,,62.1,0,,
1960,AUS,10.28,18.58,70.8,0,2524.06,2022.9
1960,AUT,7.05,6.59,68.6,0,1408.8,1118.9
1960,AZE,3.9,,61,0,,
1960,BDI,2.8,0.2,41.3,0,,
1960,BEL,9.15,11.66,69.7,0,,
1960,BEN,2.43,0.23,37.3,0,1.9,0.5
1960,BFA,4.83,0.33,34.4,0,,0.1
1960,BGD,48.01,4.27,45.8,0,,
1960,BGR,7.87,,69.2,0,,
1960,BHR,0.16,,51.9,0,,
1960,BHS,0.11,0.17,62.9,0,,
1960,BIH,3.23,,60.4,0,,
1960,BLR,8.2,,67.7,0,,
1960,BLZ,0.09,0.03,60,0,,
1960,BMU,0.04,0.08,,0,,
1960,BOL,3.66,0.37,42.1,0,71.1,67.9
1960,BRA,72.18,15.17,54.2,0,1586.75,1269.9
1960,BRB,0.23,,61,0,,
1960,BRN,0.08,,62.5,0,1.3,3.3
1960,BTN,0.22,,34.5,0,,
1960,BWA,0.5,0.03,50.7,0,,
1960,CAF,1.5,0.11,36.5,0,19.6,13.9
1960,CAN,17.91,41.09,71.1,0,6468,5825.4
1960,CHE,5.33,9.52,71.3,0,2233.3,1885.3
1960,CHI,0.11,,70.7,,,
1960,CHL,8.13,4.11,57.3,0,498.8,489.7
1960,CHN,667.07,59.72,43.7,0,,
1960,CIV,3.5,0.55,36.9,0,119.92,151.19
1960,CMR,5.18,0.62,41.5,0,84.1,96.9
1960,COD,15.25,3.36,41.1,0,,
1960,COG,1.02,0.13,48.6,0,7.3,1.9
1960,COL,16.06,4.03,56.8,0,513.4,465.4
1960,COM,0.19,,41.4,0,,
1960,CPV,0.2,,48.9,0,,
1960,CRI,1.33,0.51,60.6,0,109.9,86.4
1960,CUB,7.14,,63.8,0,,
1960,CUW,0.12,,,,,
1960,CYM,0.01,,,0,,
1960,CYP,0.57,,69.6,0,109.5,53.4
1960,CZE,9.6,,70.3,0,,
1960,DEU,72.81,,69.3,0,10013,11381
1960,DJI,0.08,,44,0,,
1960,DMA,0.06,,,0,,
1960,DNK,4.58,6.25,72.2,0,1797.6,1482.2
1960,DOM,3.29,0.67,51.8,0,95.92,179.7
1960,DZA,11.06,2.72,46.1,0,1259.9,392.3
1960,ECU,4.54,2.07,53.2,0,111.1,93.3
1960,EGY,26.63,,48.1,0,664,566.8
1960,ERI,1.01,,38.4,0,,
1960,ESP,30.46,12.07,69.1,0,701.3,724.9
1960,EST,1.21,,67.9,0,,
1960,ETH,22.15,,38.4,0,83.3,73.9
1960,FIN,4.43,5.22,68.8,0,1053.9,988.1
1960,FJI,0.39,0.11,55.9,0,41.2,39.5
1960,FRA,46.62,62.65,69.9,0,6065.6,6753.8
1960,FRO,0.03,,,0,,
1960,FSM,0.04,,57.6,0,,
1960,GAB,0.5,0.14,39.6,0,31.8,47.8
1960,GBR,52.4,72.33,71.1,0,12558.4,10340.9
1960,GEO,3.65,,63.7,0,,
1960,GHA,6.64,1.22,45.8,0,362.1,325.2
1960,GIB,0.02,,,0,,
1960,GIN,3.49,,34.9,0,2.2,0.4
1960,GMB,0.37,,32,0,,
1960,GNB,0.62,,37.9,0,,
1960,GNQ,0.26,,36.7,0,,
1960,GRC,8.33,4.45,68.2,0,698.3,203.1
1960,GRD,0.09,,60.1,0,,
1960,GRL,0.03,,,0,,
1960,GTM,4.21,1.04,46.7,0,138,112.8
1960,GUM,0.07,,61,0,,
1960,GUY,0.57,0.17,60.3,0,86.1,74.3
1960,HKG,3.08,1.32,67,0,1033.8,663.6
1960,HND,2.04,0.34,46.3,0,72.4,64.2
1960,HRV,4.14,,64.6,0,,
1960,HTI,3.87,0.27,42.1,0,38.88,38.05
1960,HUN,9.98,,68,0,263.65,217.03
1960,IDN,87.75,,48.7,0,618,582.4
1960,IMN,0.05,,,,,
1960,IND,450.55,37.03,41.2,0,2249.4,1313.5
1960,INX,,,,,,
1960,IRL,2.83,1.94,69.8,0,629.9,425.3
1960,IRN,21.91,4.2,44.9,0,556.9,
1960,IRQ,7.29,1.68,48,0,387,645.4
1960,ISL,0.18,0.25,73.4,0,87.8,65.6
1960,ISR,2.11,2.6,,,496.1,214.6
1960,ITA,50.2,40.39,69.1,0,4625.5,3635.9
1960,JAM,1.63,0.7,64.4,0,216.1,158.4
1960,JOR,0.93,,52.7,0,119.9,9.8
1960,JPN,92.5,44.31,67.7,0,4163.2,3912.7
1960,KAZ,9.93,,58.4,0,,
1960,KEN,8.12,0.79,46.3,0,249.6,109.7
1960,KGZ,2.17,,56.1,0,,
1960,KHM,5.72,0.64,41.2,0,93.7,67.6
1960,KIR,0.04,,49.2,0,,
1960,KNA,0.05,0.01,,0,,
1960,KOR,25.01,3.96,53,0,279.2,31.7
1960,KWT,0.27,,60.3,0,,
1960,LAO,2.12,,43.2,0,31.3,18.5
1960,LBN,1.8,,63.3,0,311,42.3
1960,LBR,1.12,,34.7,0,,
1960,LBY,1.45,,42.6,0,165,11.2
1960,LCA,0.09,,57.3,0,,
1960,LIE,0.02,,,,,
1960,LKA,9.87,1.41,59.4,0,408.8,372.6
1960,LSO,0.84,0.03,46.6,0,,
1960,LTU,2.78,,69.8,0,,
1960,LUX,0.31,0.7,68.4,0,,
1960,LVA,2.12,,69.8,0,,
1960,MAC,0.17,,64.8,0,,
1960,MAF,0,,,,,
1960,MAR,12.33,2.04,48.5,0,408.9,351.7
1960,MCO,0.02,,,0,,
1960,MDA,2.54,,62,0,,
1960,MDG,5.1,0.67,40,0,110.9,70.7
1960,MDV,0.09,,37.4,0,,
1960,MEX,37.77,13.04,57.1,0,1183.1,764.4
1960,MHL,0.01,,,0,,
1960,MKD,1.49,,60.6,0,,
1960,MLI,5.26,,28.2,0,,
1960,MLT,0.33,,68.6,0,78.91,10.5
1960,MMR,21.74,,42.7,0,255.6,215.5
1960,MNE,0.48,,63.8,,,
1960,MNG,0.96,,48.4,0,,
1960,MNP,0.01,,,0,,
1960,MOZ,7.18,,35,0,123.9,63.1
1960,MRT,0.85,0.09,43.5,0,,
1960,MUS,0.66,,58.7,0,68.4,38.8
1960,MWI,3.66,0.16,37.8,0,,
1960,MYS,8.16,1.92,59.5,0,,
1960,NAM,0.63,,46.9,0,,
1960,NCL,0.08,,58.6,0,,
1960,NER,3.39,0.45,35,0,13.6,12.5
1960,NGA,45.14,4.2,37,0,602.7,461.8
1960,NIC,1.77,0.22,47,0,71.1,62.7
1960,NLD,11.49,12.28,73.4,0,4507.9,4004.8
1960,NOR,3.58,5.16,73.5,0,1453.8,878.6
1960,NPL,10.11,0.51,35.2,0,,
1960,NRU,0,,,0,,
1960,NZL,2.37,5.49,71.2,0,764.17,844.9
1960,OMN,0.55,,42.7,0,,
1960,PAK,44.99,3.71,45.3,0,643.7,391.8
1960,PAN,1.13,0.54,60.9,0,108.35,19.4
1960,PER,10.16,2.57,47.7,0,373,408.8
1960,PHL,26.27,6.68,57.9,0,654.4,537
1960,PLW,0.01,,,,,
1960,PNG,2.26,0.23,41.9,0,,
1960,POL,29.64,,67.7,0,4.29,4.5
1960,PRI,2.36,1.69,68.7,0,,
1960,PRK,11.42,,51.3,0,,
1960,PRT,8.86,3.19,62.8,0,539.53,324.19
